episode,reward_sum,epsilon,loss
0,-923,0.49493300000013557,
1,-919,0.4948870000001368,
2,-932,0.49484400000013795,
3,-927,0.4948010000001391,
4,-918,0.4947520000001404,
5,-958,0.49471400000014143,
6,-958,0.49467600000014245,
7,-893,0.4946290000001437,
8,-937,0.4945950000001446,
9,-943,0.49455300000014574,
10,-926,0.4945090000001469,
11,-976,0.4944750000001478,
12,-943,0.49444100000014873,
13,-948,0.4943970000001499,
14,-957,0.494356000000151,
15,-971,0.49431400000015213,
16,-893,0.4942620000001535,
17,-916,0.4942180000001547,
18,-965,0.49418200000015566,
19,-906,0.494133000000157,
20,-967,0.49409300000015804,
21,-962,0.494058000000159,
22,-897,0.49401100000016024,
23,-908,0.49396200000016155,
24,-916,0.4939150000001628,
25,-910,0.49387200000016396,
26,-933,0.49382800000016513,
27,-941,0.49378300000016634,
28,-965,0.4937500000001672,
29,-919,0.49370400000016845,
30,-975,0.49367000000016936,
31,-923,0.49362600000017054,
32,-859,0.49356600000017214,
33,-992,0.493533000000173,
34,-928,0.49348800000017423,
35,-949,0.4934440000001754,
36,-977,0.4934060000001764,
37,-938,0.49336400000017755,
38,-964,0.49333000000017846,
39,-961,0.4932940000001794,
40,-965,0.49325600000018044,
41,-942,0.4932130000001816,
42,-931,0.49317000000018274,
43,-948,0.4931260000001839,
44,-967,0.49308700000018496,
45,-931,0.49304700000018603,
46,-965,0.4930070000001871,
47,-933,0.4929630000001883,
48,-967,0.4929280000001892,
49,-929,0.49288200000019045,
50,-893,0.492823000000192,
51,-965,0.49278400000019307,
52,-925,0.4927380000001943,
53,-953,0.4926970000001954,
54,-893,0.4926490000001967,
55,-896,0.492599000000198,
56,-965,0.49256000000019906,
57,-912,0.49251100000020037,
58,-1000,0.4924840000002011,
59,-992,0.492450000000202,
60,-914,0.49240300000020326,
61,-947,0.4923640000002043,
62,-916,0.49231800000020554,
63,-941,0.4922740000002067,
64,-980,0.4922450000002075,
65,-889,0.4921960000002088,
66,-945,0.49215700000020984,
67,-961,0.49211600000021094,
68,-926,0.49207900000021193,
69,-928,0.49203300000021316,
70,-920,0.4919900000002143,
71,-927,0.49195200000021533,
72,-945,0.49191000000021645,
73,-939,0.49186600000021763,
74,-910,0.4918220000002188,
75,-955,0.49178300000021985,
76,-965,0.4917430000002209,
77,-949,0.4916990000002221,
78,-923,0.49165900000022317,
79,-910,0.49161400000022437,
80,-869,0.49155800000022587,
81,-891,0.4915050000002273,
82,-1006,0.491479000000228,
83,-981,0.49144600000022887,
84,-945,0.49140500000022996,
85,-926,0.4913620000002311,
86,-976,0.49132700000023205,
87,-924,0.49127900000023333,
88,-929,0.49123400000023454,
89,-926,0.4911910000002357,
90,-984,0.49115200000023673,
91,-942,0.4911130000002378,
92,-891,0.49106600000023903,
93,-911,0.4910150000002404,
94,-955,0.49097600000024144,
95,-934,0.4909330000002426,
96,-935,0.4908920000002437,
97,-1010,0.49086700000024436,
98,-1001,0.49083300000024527,
99,-939,0.4907910000002464,
100,-959,0.4907530000002474,
101,-938,0.4907050000002487,
102,-942,0.49066100000024987,
103,-940,0.490619000000251,
104,-948,0.4905770000002521,
105,-974,0.4905360000002532,
106,-915,0.4904870000002545,
107,-903,0.49044100000025576,
108,-983,0.49040800000025664,
109,-899,0.49035900000025795,
110,-981,0.49032600000025883,
111,-903,0.4902780000002601,
112,-940,0.49023500000026127,
113,-924,0.4901960000002623,
114,-970,0.4901590000002633,
115,-955,0.49011900000026437,
116,-906,0.4900770000002655,
117,-961,0.49003700000026656,
118,-924,0.4899910000002678,
119,-983,0.48995200000026884,
120,-967,0.48991400000026986,
121,-952,0.48986900000027106,
122,-878,0.48982000000027237,
123,-952,0.4897770000002735,
124,-964,0.4897450000002744,
125,-982,0.48970900000027534,
126,-936,0.4896660000002765,
127,-913,0.48961900000027775,
128,-889,0.4895690000002791,
129,-927,0.4895280000002802,
130,-972,0.4894900000002812,
131,-916,0.4894410000002825,
132,-934,0.48939500000028374,
133,-935,0.4893620000002846,
134,-926,0.48931700000028583,
135,-915,0.4892650000002872,
136,-942,0.48922600000028826,
137,-910,0.4891790000002895,
138,-987,0.4891500000002903,
139,-951,0.4891160000002912,
140,-936,0.48907300000029236,
141,-948,0.4890380000002933,
142,-872,0.48898000000029485,
143,-975,0.48893900000029594,
144,-945,0.488899000000297,
145,-981,0.48886100000029803,
146,-929,0.4888210000002991,
147,-993,0.48878600000030004,
148,-927,0.4887420000003012,
149,-965,0.488712000000302,
150,-959,0.4886680000003032,
151,-952,0.4886300000003042,
152,-999,0.4886040000003049,
153,-914,0.488564000000306,
154,-966,0.48852400000030705,
155,-959,0.48848300000030814,
156,-955,0.48844500000030916,
157,-936,0.4884020000003103,
158,-935,0.48835600000031154,
159,-904,0.48830700000031285,
160,-931,0.4882710000003138,
161,-944,0.48823300000031483,
162,-955,0.4881930000003159,
163,-955,0.488151000000317,
164,-940,0.4881110000003181,
165,-915,0.4880670000003193,
166,-944,0.4880330000003202,
167,-978,0.4879920000003213,
168,-956,0.4879540000003223,
169,-966,0.4879170000003233,
170,-927,0.48787300000032446,
171,-890,0.48782200000032583,
172,-877,0.4877700000003272,
173,-932,0.48772400000032845,
174,-928,0.4876850000003295,
175,-949,0.4876370000003308,
176,-995,0.4876030000003317,
177,-897,0.487554000000333,
178,-948,0.4875100000003342,
179,-933,0.4874680000003353,
180,-981,0.4874300000003363,
