episode,reward_sum,epsilon,loss
0,-964,0.4949250000001358,
1,-987,0.49489200000013667,
2,-991,0.49485600000013763,
3,-964,0.4948130000001388,
4,-950,0.49476500000014006,
5,-909,0.4947070000001416,
6,-966,0.4946700000001426,
7,-894,0.4946150000001441,
8,-939,0.4945660000001454,
9,-927,0.4945180000001467,
10,-913,0.49447100000014793,
11,-924,0.49442100000014927,
12,-911,0.4943830000001503,
13,-960,0.4943380000001515,
14,-943,0.4942930000001527,
15,-929,0.49423900000015414,
16,-949,0.4941920000001554,
17,-904,0.4941480000001566,
18,-968,0.4941060000001577,
19,-945,0.49406300000015885,
20,-971,0.49401800000016005,
21,-975,0.4939750000001612,
22,-859,0.4939180000001627,
23,-989,0.49387900000016377,
24,-856,0.4938140000001655,
25,-881,0.49376000000016695,
26,-982,0.493720000000168,
27,-915,0.49367400000016926,
28,-941,0.49362200000017065,
29,-928,0.49356900000017206,
30,-926,0.49352100000017335,
31,-913,0.4934670000001748,
32,-952,0.49342400000017594,
33,-852,0.4933650000001775,
34,-945,0.4933180000001788,
35,-984,0.4932840000001797,
36,-922,0.49324500000018073,
37,-928,0.493197000000182,
38,-830,0.4931300000001838,
39,-942,0.49308400000018504,
40,-954,0.4930400000001862,
41,-936,0.49299400000018745,
42,-1010,0.4929700000001881,
43,-850,0.4929060000001898,
44,-947,0.492862000000191,
45,-908,0.49281000000019237,
46,-933,0.49276600000019355,
47,-976,0.4927340000001944,
48,-971,0.4927040000001952,
49,-955,0.4926600000001964,
50,-911,0.49260600000019783,
51,-852,0.49254600000019944,
52,-950,0.49249700000020075,
53,-928,0.4924470000002021,
54,-968,0.4924010000002033,
55,-994,0.49237400000020404,
56,-930,0.49233300000020513,
57,-982,0.4923090000002058,
58,-922,0.4922590000002071,
59,-973,0.4922230000002081,
60,-1012,0.49219400000020885,
61,-965,0.4921590000002098,
62,-966,0.4921220000002108,
63,-979,0.4920810000002119,
64,-966,0.492039000000213,
65,-950,0.4919910000002143,
66,-926,0.4919410000002156,
67,-953,0.49189900000021675,
68,-934,0.49185400000021795,
69,-955,0.4918120000002191,
70,-905,0.4917580000002205,
71,-920,0.4917130000002217,
72,-927,0.4916680000002229,
73,-942,0.49162300000022413,
74,-905,0.4915690000002256,
75,-998,0.4915310000002266,
76,-968,0.49148800000022774,
77,-905,0.4914300000002293,
78,-953,0.4913840000002305,
79,-949,0.49134900000023146,
80,-975,0.49130900000023253,
81,-900,0.4912570000002339,
82,-892,0.4912020000002354,
83,-938,0.49115800000023657,
84,-944,0.49111400000023775,
85,-895,0.49106100000023917,
86,-901,0.4910040000002407,
87,-907,0.49095300000024206,
88,-975,0.4909150000002431,
89,-905,0.4908660000002444,
90,-957,0.49081800000024567,
91,-979,0.49077700000024677,
92,-941,0.49073200000024797,
93,-920,0.4906740000002495,
94,-954,0.4906260000002508,
95,-967,0.49058300000025196,
96,-837,0.49051300000025383,
97,-901,0.49046300000025517,
98,-942,0.49041500000025645,
99,-919,0.49036300000025784,
100,-902,0.49031100000025923,
101,-990,0.4902680000002604,
102,-931,0.49022500000026153,
103,-917,0.4901730000002629,
104,-969,0.490132000000264,
105,-931,0.49008600000026525,
106,-957,0.49003700000026656,
107,-960,0.48999200000026777,
108,-988,0.4899570000002687,
109,-924,0.4899020000002702,
110,-965,0.4898600000002713,
111,-950,0.48981700000027245,
112,-890,0.4897660000002738,
113,-877,0.4897150000002752,
114,-938,0.4896700000002764,
115,-921,0.48961900000027775,
116,-889,0.4895620000002793,
117,-882,0.48950300000028085,
118,-946,0.489460000000282,
119,-943,0.4894190000002831,
120,-869,0.48936100000028465,
121,-958,0.48931700000028583,
122,-919,0.4892630000002873,
123,-1007,0.48923100000028813,
124,-896,0.48918200000028944,
125,-940,0.4891310000002908,
126,-963,0.48909600000029174,
127,-942,0.48905100000029295,
128,-1000,0.48901300000029396,
129,-900,0.48895700000029546,
130,-955,0.4889220000002964,
131,-951,0.48887900000029755,
132,-969,0.4888330000002988,
133,-906,0.48877800000030025,
134,-967,0.48874100000030124,
135,-899,0.4886940000003025,
136,-916,0.48864700000030376,
137,-845,0.4885780000003056,
138,-895,0.4885230000003071,
139,-893,0.4884650000003086,
140,-974,0.48843100000030953,
141,-924,0.48838200000031085,
142,-966,0.48834500000031184,
143,-947,0.48830000000031304,
144,-918,0.4882500000003144,
145,-957,0.4882110000003154,
146,-942,0.48816500000031665,
147,-918,0.48812100000031783,
148,-895,0.48806400000031935,
149,-940,0.48801600000032064,
150,-889,0.48796000000032214,
151,-918,0.4879130000003234,
152,-926,0.4878600000003248,
153,-899,0.4878090000003262,
154,-918,0.48776100000032746,
155,-931,0.48771200000032877,
156,-925,0.48766100000033014,
157,-939,0.4876100000003315,
158,-883,0.487553000000333,
159,-954,0.48750300000033436,
160,-907,0.4874500000003358,
161,-915,0.4873960000003372,
162,-899,0.48734600000033856,
163,-953,0.48730200000033974,
164,-906,0.4872470000003412,
165,-1020,0.48721200000034215,
166,-876,0.48715600000034365,
167,-905,0.4871020000003451,
168,-975,0.4870600000003462,
169,-922,0.4870150000003474,
170,-926,0.48696600000034873,
171,-884,0.48690900000035026,
172,-866,0.4868510000003518,
173,-873,0.4867960000003533,
174,-879,0.48673300000035497,
175,-860,0.4866760000003565,
176,-991,0.4866340000003576,
177,-959,0.4865900000003588,
178,-881,0.4865340000003603,
179,-919,0.4864820000003617,
180,-905,0.4864280000003631,
181,-928,0.48637900000036444,
182,-877,0.4863250000003659,
183,-953,0.486284000000367,
184,-936,0.4862340000003683,
185,-945,0.48618800000036955,
186,-891,0.4861380000003709,
187,-909,0.4860810000003724,
188,-979,0.4860360000003736,
189,-923,0.4859880000003749,
190,-925,0.48593700000037626,
191,-901,0.4858880000003776,
192,-1003,0.4858500000003786,
193,-912,0.48580000000037993,
194,-899,0.4857420000003815,
195,-967,0.4856970000003827,
196,-901,0.48564200000038416,
197,-926,0.4856030000003852,
198,-909,0.4855510000003866,
199,-875,0.4854900000003882,
200,-915,0.48543700000038964,
201,-981,0.48539600000039074,
202,-931,0.4853560000003918,
203,-913,0.48530500000039317,
204,-896,0.4852510000003946,
205,-964,0.4852040000003959,
206,-920,0.48515300000039724,
207,-954,0.48511500000039826,
208,-898,0.4850600000003997,
209,-928,0.4850080000004011,
210,-970,0.48497700000040195,
211,-918,0.4849270000004033,
212,-908,0.4848700000004048,
213,-971,0.484825000000406,
214,-977,0.48478700000040703,
215,-908,0.4847360000004084,
216,-943,0.48468200000040984,
217,-859,0.4846210000004115,
218,-928,0.4845760000004127,
219,-853,0.4845110000004144,
220,-905,0.4844620000004157,
221,-908,0.48441300000041704,
222,-872,0.4843590000004185,
223,-901,0.4843070000004199,
224,-895,0.48425100000042137,
225,-886,0.48418900000042303,
226,-944,0.4841450000004242,
227,-925,0.4840920000004256,
228,-941,0.48404700000042683,
229,-917,0.4839960000004282,
230,-876,0.48393000000042996,
231,-921,0.48387800000043135,
232,-910,0.4838280000004327,
233,-875,0.48376600000043435,
234,-827,0.4836970000004362,
235,-943,0.4836520000004374,
236,-917,0.4836070000004386,
237,-910,0.48355300000044005,
238,-948,0.4835100000004412,
239,-891,0.48345600000044264,
240,-930,0.4834120000004438,
241,-910,0.48336200000044516,
242,-977,0.48332200000044623,
243,-936,0.4832750000004475,
244,-956,0.4832330000004486,
245,-941,0.4831880000004498,
246,-952,0.4831480000004509,
247,-913,0.4830910000004524,
248,-977,0.4830580000004533,
249,-930,0.48300700000045466,
250,-978,0.48296600000045575,
251,-920,0.4829120000004572,
252,-987,0.4828710000004583,
253,-911,0.4828220000004596,
254,-968,0.4827930000004604,
255,-882,0.4827360000004619,
256,-882,0.48267500000046354,
257,-957,0.4826320000004647,
258,-949,0.482582000000466,
259,-908,0.48253300000046734,
260,-918,0.48248100000046873,
261,-903,0.4824300000004701,
262,-932,0.48238700000047124,
263,-941,0.4823400000004725,
264,-986,0.48230400000047347,
265,-912,0.4822500000004749,
266,-952,0.48220400000047614,
267,-920,0.48215500000047745,
268,-918,0.4821120000004786,
269,-912,0.48206000000048,
270,-926,0.4820150000004812,
271,-980,0.48197600000048224,
272,-1008,0.4819630000004826,
273,-920,0.48191600000048385,
274,-928,0.4818650000004852,
275,-962,0.48181900000048644,
276,-919,0.48177000000048775,
277,-956,0.48172600000048893,
278,-951,0.48168100000049013,
279,-891,0.48162400000049166,
280,-898,0.48156800000049316,
281,-931,0.48152300000049436,
282,-916,0.4814700000004958,
283,-974,0.48142700000049693,
284,-899,0.4813730000004984,
285,-916,0.48131800000049985,
286,-930,0.48127300000050105,
287,-928,0.4812190000005025,
288,-962,0.48117600000050365,
289,-917,0.48112400000050504,
290,-934,0.4810760000005063,
291,-922,0.48102700000050763,
292,-934,0.4809840000005088,
293,-899,0.4809350000005101,
294,-941,0.48089200000051124,
295,-929,0.4808450000005125,
296,-915,0.48079500000051384,
297,-926,0.48074600000051515,
298,-981,0.480715000000516,
299,-883,0.48065600000051756,
300,-935,0.48060000000051906,
301,-879,0.48054400000052055,
302,-930,0.4804930000005219,
303,-960,0.48045000000052307,
304,-977,0.4804120000005241,
305,-955,0.48036900000052524,
306,-889,0.4803110000005268,
307,-929,0.4802630000005281,
308,-933,0.4802170000005293,
309,-978,0.4801760000005304,
310,-900,0.48013600000053147,
311,-933,0.4800910000005327,
312,-982,0.48005100000053375,
313,-945,0.48001000000053484,
314,-968,0.47996900000053594,
315,-886,0.47991200000053746,
316,-929,0.4798630000005388,
317,-922,0.4798070000005403,
318,-903,0.47975600000054164,
319,-947,0.47971500000054274,
320,-885,0.47965500000054434,
321,-894,0.4796010000005458,
322,-882,0.4795490000005472,
323,-907,0.47950500000054835,
324,-881,0.47944200000055004,
325,-874,0.4793830000005516,
326,-931,0.479332000000553,
327,-978,0.47930300000055376,
328,-960,0.4792710000005546,
329,-922,0.4792220000005559,
330,-909,0.47917600000055716,
331,-908,0.4791260000005585,
332,-935,0.47907600000055983,
333,-931,0.4790290000005611,
334,-870,0.4789730000005626,
335,-938,0.47892900000056376,
336,-958,0.4788860000005649,
337,-897,0.47882800000056647,
338,-954,0.47878800000056754,
339,-938,0.47873900000056885,
340,-912,0.4786880000005702,
341,-934,0.4786390000005715,
342,-995,0.47859400000057273,
343,-949,0.478546000000574,
344,-931,0.4784900000005755,
345,-910,0.47844000000057685,
346,-943,0.4783890000005782,
347,-935,0.4783450000005794,
348,-946,0.4783000000005806,
349,-933,0.4782510000005819,
350,-941,0.47820500000058314,
351,-905,0.4781510000005846,
352,-1024,0.4781270000005852,
353,-955,0.47808500000058635,
354,-863,0.47802100000058806,
355,-912,0.4779740000005893,
356,-921,0.4779230000005907,
357,-959,0.47787500000059197,
358,-975,0.477836000000593,
359,-895,0.47777400000059467,
360,-928,0.47772200000059606,
361,-947,0.4776720000005974,
362,-882,0.4776200000005988,
363,-951,0.47757700000059994,
364,-969,0.47753600000060104,
365,-1002,0.47751000000060173,
366,-933,0.4774670000006029,
367,-879,0.4774060000006045,
368,-950,0.47736400000060564,
369,-943,0.47731900000060684,
370,-892,0.47726300000060834,
371,-920,0.47721100000060973,
372,-929,0.47716200000061104,
373,-922,0.4771070000006125,
374,-934,0.47706500000061364,
375,-904,0.47700800000061516,
376,-946,0.47696000000061645,
377,-885,0.4769050000006179,
378,-965,0.47686700000061893,
379,-889,0.4768080000006205,
380,-914,0.4767600000006218,
381,-983,0.4767180000006229,
382,-951,0.47667200000062415,
383,-943,0.4766290000006253,
384,-945,0.4765810000006266,
385,-925,0.476528000000628,
386,-931,0.4764790000006293,
387,-896,0.47642500000063076,
388,-895,0.4763710000006322,
389,-927,0.47632000000063357,
390,-964,0.47628300000063456,
391,-926,0.4762330000006359,
392,-916,0.4761810000006373,
